date,floor_price_eth,floor_7d_avg,total_volume,trade_count,volume_7d_avg,trade_7d_avg
2025-03-01 00:00:00+00:00,9.2,8.682857142857141,28.07999999,3,268.350946727449,29.714285714285715
2025-03-02 00:00:00+00:00,9.1,8.712857142857143,366.21139989,38,297.7960005403061,32.857142857142854
2025-03-03 00:00:00+00:00,9.43,8.845714285714285,276.0599362,28,289.6435388910204,31.714285714285715
2025-03-04 00:00:00+00:00,9.07,8.97,372.7729151299994,39,302.41846239163254,32.57142857142857
2025-03-05 00:00:00+00:00,9.38,9.08,145.514586,15,262.36553189061215,27.857142857142858
2025-03-06 00:00:00+00:00,9.39999,9.19714142857143,165.9787787,17,239.63588205183663,25.142857142857142
2025-03-07 00:00:00+00:00,9.52,9.29999857142857,77.29224105,8,204.5585509942856,21.142857142857142
2025-03-08 00:00:00+00:00,9.39,9.327141428571428,86.34893291000034,9,212.88268426857135,22.0
2025-03-09 00:00:00+00:00,9.1,9.327141428571428,249.85852796,26,196.2608454214285,20.285714285714285
2025-03-10 00:00:00+00:00,8.46,9.18857,304.5903437,34,200.33661792142857,21.142857142857142
2025-03-11 00:00:00+00:00,8.02,9.03857,450.45029633,53,211.43338666428576,23.142857142857142
2025-03-12 00:00:00+00:00,8.55,8.919998571428572,162.15588789999902,18,213.8107155071428,23.571428571428573
2025-03-13 00:00:00+00:00,8.66,8.814285714285715,143.73920740000034,16,210.6336338928571,23.428571428571427
2025-03-14 00:00:00+00:00,8.55,8.675714285714287,176.2398373,20,224.76900478571423,25.142857142857142
2025-03-15 00:00:00+00:00,8.7,8.577142857142857,71.424,8,222.63687151285708,25.0
2025-03-16 00:00:00+00:00,8.69,8.518571428571429,61.57,7,195.7385103757142,22.285714285714285
2025-03-17 00:00:00+00:00,8.64,8.544285714285715,107.5497081,12,167.58984814714273,19.142857142857142
2025-03-18 00:00:00+00:00,8.87,8.665714285714285,108.5697998,12,118.7497772142856,13.285714285714286
2025-03-19 00:00:00+00:00,9.02,8.732857142857142,83.14,9,107.46179322857148,12.0
2025-03-20 00:00:00+00:00,9.48,8.85,207.921697699,21,116.63072041414289,12.714285714285714
2025-03-21 00:00:00+00:00,9.38,8.968571428571428,230.0999937199999,24,124.32502847414284,13.285714285714286
2025-03-22 00:00:00+00:00,9.68,9.108571428571429,77.789999,8,125.23445690271426,13.285714285714286
2025-03-23 00:00:00+00:00,9.8,9.267142857142858,293.809498,27,158.41152804557143,16.142857142857142
2025-03-24 00:00:00+00:00,10.0099999,9.462857128571429,115.8899999,11,159.60299830271427,16.0
2025-03-25 00:00:00+00:00,10.15,9.645714271428572,146.13599899,14,164.96959818699997,16.285714285714285
2025-03-26 00:00:00+00:00,10.15,9.807142842857145,155.2,15,175.26388390128568,17.142857142857142
2025-03-27 00:00:00+00:00,10.15,9.902857128571428,144.07878868000012,14,166.14346832714287,16.142857142857142
2025-03-28 00:00:00+00:00,9.55,9.927142842857142,357.5699977,34,184.3534688957143,17.571428571428573
2025-03-29 00:00:00+00:00,9.54,9.907142842857144,107.44962847814811,11,188.590558821164,18.0
2025-03-30 00:00:00+00:00,9.72,9.895714271428572,109.4775969,11,162.2574300925926,15.714285714285714
